Source	Target	Weight
preserving	replication	12
collaborating	discussing	25
stylisticAnalysis	contrastiveAnalysis	25
programming	graphicsProgramming	25
enriching	dataCleansing	50
communicating	microblogging	25
stylisticAnalysis	genreRecognition	25
disseminating	commenting	50
editing	videoEditing	25
gathering	archiving	25
analyzing	networkAnalysis	50
storing	identifying	50
contentAnalysis	sentimentAnalysis	25
annotating	associating	25
networkAnalysis	namedEntityRecognition	25
commenting	contextualizing	25
editing	modifying	25
recording	audioRecording	25
crowdsourcing	gamification	25
preserving	preservationMetadata	12
analyzing	visualAnalysis	50
imaging	photographing	25
communicating	textMessaging	25
dataCleansing	improving	25
analyzing	relationalAnalysis	50
analyzing	contentAnalysis	50
contentAnalysis	topicModeling	25
editing	correcting	25
annotating	georeferencing	25
visualAnalysis	mapping	25
contentAnalysis	tagging	25
structuralAnalysis	collocationAnalysis	25
editing	adding	25
designing	diagramming	25
imaging	scanning	25
dataCleansing	debugging	25
publishing	blogging	25
theorizing	defining	25
recording	videoCapture	25
stylisticAnalysis	machineLearning	25
storing	preserving	50
dataCleansing	correcting	25
converting	naturalLanguageProcessing	25
interpreting	modeling	50
annotating	tagging	25
communicating	videoConference	25
identifying	uniformResourceIdentifier	12
discovering	browsing	25
disseminating	sharing	50
stylisticAnalysis	rhetoricalAnalysis	25
editing	cropping	25
sharing	posting	6
editing	subtracting	25
programming	pseudoCoding	25
capturing	imaging	50
identifying	persistentIdentifier	12
converting	lemmatizing	25
publishing	digitalPublishing	25
converting	compiling	25
stylisticAnalysis	distanceMeasures	25
theorizing	reasoning	25
gathering	webCrawling	25
preserving	emulation	12
annotating	encoding	25
annotating	posTagging	25
structuralAnalysis	treeTagging	25
annotating	linkedOpenData	25
contextualizing	integrating	12
transcribing	speechRecognizing	25
extracting	knowledgeDiscovery	25
contentAnalysis	discourseAnalysis	25
disseminating	communicating	50
storing	organizing	50
gathering	collecting	25
modeling	dataMapping	25
contextualizing	associate	12
theorizing	explanation	25
creating	webDevelopment	50
stylisticAnalysis	clusterAnalysis	25
extracting	knowledgeExtraction	25
stylisticAnalysis	principalComponentAnalysis	25
designing	wireframing	25
preserving	bitStreamPreservation	12
creating	writing	50
contentAnalysis	namedEntityRecognition	25
communicating	eMailing	25
organizing	managing	12
preserving	migration	12
relationalAnalysis	machineLearning	25
dataRecognition	preprocessing	25
networkAnalysis	identifying	25
relationalAnalysis	identifying	25
archiving	collecting	12
gathering	cataloging	25
writing	lettering	25
capturing	gathering	50
gathering	collating	25
recording	screencast	25
annotating	highlighting	25
designing	drawing	25
archiving	scanning	12
theorizing	conceptualizing	25
contentAnalysis	machineLearning	25
annotating	namedEntityRecognition	25
relationalAnalysis	comparing	25
contentAnalysis	identifying	25
modeling	transformation	25
contextualizing	coOccurrence	12
disseminating	collaborating	50
archiving	dataIngestion	12
capturing	discovering	50
editing	supplementing	25
stylisticAnalysis	authorshipAttribution	25
interpreting	theorizing	50
structuralAnalysis	posTagging	25
discovering	exploration	25
stylisticAnalysis	stylometry	25
archiving	cataloging	12
identifying	digitalObjectIdentifier	12
visualAnalysis	plotting	25
programming	encoding	25
converting	parsing	25
analyzing	structuralAnalysis	50
editing	merging	25
capturing	dataRecognition	50
gathering	aggregating	25
contextualizing	semantification	12
collaborating	organizing	25
dataRecognition	encoding	25
identifying	identifier	12
capturing	transcribing	50
publishing	academicPublishing	25
preserving	description	12
stylisticAnalysis	textCategorization	25
annotating	segmenting	25
discovering	querying	25
organizing	finding	12
disseminating	teaching	50
contextualizing	mapping	12
dataCleansing	removing	25
archiving	webScraping	12
visualAnalysis	dataVisualization	25
annotating	visualAnnotation	25
annotating	audioAnnotation	25
organizing	sharing	12
relationalAnalysis	clusterAnalysis	25
relationalAnalysis	principalComponentAnalysis	25
discovering	informationRetrieval	25
relationalAnalysis	patternRecognition	25
creating	translating	50
communicating	instantMessaging	25
analyzing	stylisticAnalysis	50
theorizing	abstractThinking	25
disseminating	crowdsourcing	50
collaborating	socialNetworking	25
analyzing	spatialAnalysis	50
commenting	expressingOpinion	25
annotating	contextualizing	25
extracting	dataMining	25
visualAnalysis	mindMapping	25
contentAnalysis	informationRetrieval	25
creating	designing	50
communicating	audioConferencing	25
relationalAnalysis	collating	25
converting	transcoding	25
capturing	converting	50
interpreting	contextualizing	50
structuralAnalysis	machineLearning	25
creating	programming	50
enriching	annotating	50
capturing	extracting	50
disseminating	publishing	50
relationalAnalysis	stylometry	25
gathering	webScraping	25
spatialAnalysis	georeferencing	25
preserving	versioning	12
editing	formatting	25
capturing	recording	50
extracting	informationMining	25
storing	archiving	50
publishing	linkedOpenData	25
sharing	upload	6
identifying	namingConvention	12
publishing	tweet	25
relationalAnalysis	sequenceAlignment	25
dataRecognition	opticalCharacterRecognition	25
dataRecognition	opticalMusicRecognition	25
discovering	searching	25
gathering	preserving	25
structuralAnalysis	concordance	25
crowdsourcing	userGeneratedContent	25
spatialAnalysis	namedEntityRecognition	25
enriching	editing	50
Tadirah	creating	100
Tadirah	storing	100
Tadirah	disseminating	100
Tadirah	interpreting	100
Tadirah	capturing	100
Tadirah	enriching	100
Tadirah	analyzing	100
