Id	Label	Weight
Tadirah	Tadirah	100
disseminating	disseminating	50
storing	storing	50
capturing	capturing	50
interpreting	interpreting	50
creating	creating	50
analyzing	analyzing	50
enriching	enriching	50
structuralAnalysis	structuralAnalysis	25
discovering	discovering	25
collaborating	collaborating	25
annotating	annotating	25
stylisticAnalysis	stylisticAnalysis	25
publishing	publishing	25
relationalAnalysis	relationalAnalysis	25
gathering	gathering	25
recording	recording	25
visualAnalysis	visualAnalysis	25
converting	converting	25
commenting	commenting	25
extracting	extracting	25
spatialAnalysis	spatialAnalysis	25
communicating	communicating	25
contentAnalysis	contentAnalysis	25
theorizing	theorizing	25
dataCleansing	dataCleansing	25
editing	editing	25
crowdsourcing	crowdsourcing	25
translating	translating	25
teaching	teaching	25
preserving	preserving	25
modeling	modeling	25
transcribing	transcribing	25
sharing	sharing	25
dataRecognition	dataRecognition	25
imaging	imaging	25
organizing	organizing	25
webDevelopment	webDevelopment	25
writing	writing	25
designing	designing	25
identifying	identifying	25
programming	programming	25
contextualizing	contextualizing	25
networkAnalysis	networkAnalysis	25
archiving	archiving	25
plotting	plotting	12
sequenceAlignment	sequenceAlignment	12
posTagging	posTagging	12
exploration	exploration	12
stylometry	stylometry	12
formatting	formatting	12
supplementing	supplementing	12
encoding	encoding	12
parsing	parsing	12
cataloging	cataloging	12
merging	merging	12
georeferencing	georeferencing	12
authorshipAttribution	authorshipAttribution	12
highlighting	highlighting	12
informationMining	informationMining	12
collating	collating	12
transformation	transformation	12
lettering	lettering	12
comparing	comparing	12
preprocessing	preprocessing	12
namedEntityRecognition	namedEntityRecognition	12
screencast	screencast	12
machineLearning	machineLearning	12
conceptualizing	conceptualizing	12
drawing	drawing	12
aggregating	aggregating	12
tweet	tweet	12
audioAnnotation	audioAnnotation	12
socialNetworking	socialNetworking	12
dataMining	dataMining	12
mindMapping	mindMapping	12
informationRetrieval	informationRetrieval	12
audioConferencing	audioConferencing	12
searching	searching	12
transcoding	transcoding	12
linkedOpenData	linkedOpenData	12
concordance	concordance	12
userGeneratedContent	userGeneratedContent	12
expressingOpinion	expressingOpinion	12
abstractThinking	abstractThinking	12
opticalMusicRecognition	opticalMusicRecognition	12
eMailing	eMailing	12
academicPublishing	academicPublishing	12
textCategorization	textCategorization	12
webScraping	webScraping	12
segmenting	segmenting	12
querying	querying	12
removing	removing	12
dataVisualization	dataVisualization	12
visualAnnotation	visualAnnotation	12
clusterAnalysis	clusterAnalysis	12
principalComponentAnalysis	principalComponentAnalysis	12
patternRecognition	patternRecognition	12
instantMessaging	instantMessaging	12
opticalCharacterRecognition	opticalCharacterRecognition	12
diagramming	diagramming	12
debugging	debugging	12
mapping	mapping	12
tagging	tagging	12
collocationAnalysis	collocationAnalysis	12
adding	adding	12
scanning	scanning	12
topicModeling	topicModeling	12
blogging	blogging	12
defining	defining	12
videoCapture	videoCapture	12
correcting	correcting	12
naturalLanguageProcessing	naturalLanguageProcessing	12
improving	improving	12
discussing	discussing	12
contrastiveAnalysis	contrastiveAnalysis	12
graphicsProgramming	graphicsProgramming	12
microblogging	microblogging	12
genreRecognition	genreRecognition	12
videoEditing	videoEditing	12
sentimentAnalysis	sentimentAnalysis	12
textMessaging	textMessaging	12
associating	associating	12
modifying	modifying	12
audioRecording	audioRecording	12
gamification	gamification	12
photographing	photographing	12
videoConference	videoConference	12
collecting	collecting	12
treeTagging	treeTagging	12
speechRecognizing	speechRecognizing	12
knowledgeDiscovery	knowledgeDiscovery	12
discourseAnalysis	discourseAnalysis	12
dataMapping	dataMapping	12
explanation	explanation	12
knowledgeExtraction	knowledgeExtraction	12
wireframing	wireframing	12
browsing	browsing	12
rhetoricalAnalysis	rhetoricalAnalysis	12
cropping	cropping	12
subtracting	subtracting	12
pseudoCoding	pseudoCoding	12
lemmatizing	lemmatizing	12
digitalPublishing	digitalPublishing	12
compiling	compiling	12
distanceMeasures	distanceMeasures	12
reasoning	reasoning	12
webCrawling	webCrawling	12
namingConvention	namingConvention	6
versioning	versioning	6
managing	managing	6
persistentIdentifier	persistentIdentifier	6
bitStreamPreservation	bitStreamPreservation	6
associate	associate	6
integrating	integrating	6
coOccurrence	coOccurrence	6
dataIngestion	dataIngestion	6
emulation	emulation	6
digitalObjectIdentifier	digitalObjectIdentifier	6
replication	replication	6
preservationMetadata	preservationMetadata	6
semantification	semantification	6
uniformResourceIdentifier	uniformResourceIdentifier	6
identifier	identifier	6
description	description	6
finding	finding	6
migration	migration	6
upload	upload	3
posting	posting	3
